StudentID,CourseID,Name,StudyOrNot,Semester,Group
1,1,Những môn chính học kỳ 1,1,1,0
1,2,Những môn chính học kỳ 2,1,2,0
1,3,Logic học,1,2,1
1,4,Phương pháp tính,0,2,1
1,5,Vật lý đại cương,0,2,1
1,6,Toán ứng dụng,0,2,1
1,7,Hàm phức và phép biến đổi Laplace,0,2,1
1,8,Những môn chính học kỳ 3,1,3,0
1,9,Lập trình trong CNTT với Python,0,3,1
1,10,Lập trình IoT với Python,0,3,1
1,11,Lập trình trong CNTT với Java,0,3,1
1,12,Những môn chính học kỳ 4,1,4,0
1,13,Kỹ năng xây dựng kế hoạch ,1,4,1
1,14,Quản trị học,0,4,1
1,15,Quản trị doanh nghiệp,0,4,1
1,16,Kế toán cơ bản,0,4,1
1,17,Môi trường và con người ,0,4,1
1,18,Giao tiếp kinh doanh,0,4,1
1,19,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,4,1
1,20,Những môn chính học kỳ 5,1,5,0
1,21,Kiến trúc và cài đặt hệ CSDL,1,5,1
1,22,Cơ sở dữ liệu phân tán,0,5,1
1,23,Hệ quản trị cơ sở dữ liệu,0,5,1
1,24,Công cụ Web và Website hướng dữ liệu,0,5,2
1,25,Phát triển ứng dụng Web,1,5,2
1,26,Thương mại điện tử,0,5,2
1,27,Những môn chính học kỳ 6,1,6,0
1,28,Điện toán đám mây,1,6,1
1,29,Kiến trúc lưu trữ phân tán,0,6,1
1,30,Điện toán cụm,0,6,1
1,31,Lý thuyết đồ thị,1,6,2
1,32,Ngôn ngữ lập trình,0,6,2
1,33,Phân tích và quản lý yêu cầu,0,6,2
1,34,Những môn chính học kỳ 7,1,7,0
1,35,Truyền số liệu,0,7,1
1,36,Quản trị dịch vụ mạng,0,7,1
1,37,Kịch bản tích hợp nâng cao,0,7,1
1,38,Mạng không dây,0,7,2
1,39,Trí tuệ nhân tạo,0,7,2
1,40,Quản trị dự án hệ thống thông tin,0,7,2
1,41,Tâm lí học đại cương,0,7,3
1,42,Cơ sở văn hóa Việt Nam,0,7,3
1,43,Xã hội học,0,7,3
1,44,Tiếng Việt thực hành,1,7,3
1,45,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,3
1,46,Hội họa,0,7,3
1,47,Những môn chính học kỳ 8,1,8,0
1,48,Hệ thống ảo và khả năng mở rộng dữ liệu,0,8,1
1,49,Lập trình phân tích dữ liệu 1,0,8,1
1,50,Automat và ngôn ngữ hình thức,0,8,1
1,51,Những môn chính học kỳ 9,1,9,0
2,1,Những môn chính học kỳ 1,1,1,0
2,2,Những môn chính học kỳ 2,1,2,0
2,3,Logic học,0,2,1
2,4,Phương pháp tính,0,2,1
2,5,Vật lý đại cương,1,2,1
2,6,Toán ứng dụng,0,2,1
2,7,Hàm phức và phép biến đổi Laplace,0,2,1
2,8,Những môn chính học kỳ 3,1,3,0
2,9,Lập trình trong CNTT với Python,0,3,1
2,10,Lập trình IoT với Python,0,3,1
2,11,Lập trình trong CNTT với Java,1,3,1
2,12,Những môn chính học kỳ 4,1,4,0
2,13,Kỹ năng xây dựng kế hoạch ,0,4,1
2,14,Quản trị học,1,4,1
2,15,Quản trị doanh nghiệp,0,4,1
2,16,Kế toán cơ bản,0,4,1
2,17,Môi trường và con người ,0,4,1
2,18,Giao tiếp kinh doanh,0,4,1
2,19,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,4,1
2,20,Những môn chính học kỳ 5,1,5,0
2,21,Kiến trúc và cài đặt hệ CSDL,0,5,1
2,22,Cơ sở dữ liệu phân tán,0,5,1
2,23,Hệ quản trị cơ sở dữ liệu,1,5,1
2,24,Công cụ Web và Website hướng dữ liệu,0,5,2
2,25,Phát triển ứng dụng Web,0,5,2
2,26,Thương mại điện tử,0,5,2
2,27,Những môn chính học kỳ 6,1,6,0
2,28,Điện toán đám mây,1,6,1
2,29,Kiến trúc lưu trữ phân tán,0,6,1
2,30,Điện toán cụm,0,6,1
2,31,Lý thuyết đồ thị,0,6,2
2,32,Ngôn ngữ lập trình,0,6,2
2,33,Phân tích và quản lý yêu cầu,0,6,2
2,34,Những môn chính học kỳ 7,1,7,0
2,35,Truyền số liệu,0,7,1
2,36,Quản trị dịch vụ mạng,0,7,1
2,37,Kịch bản tích hợp nâng cao,0,7,1
2,38,Mạng không dây,0,7,2
2,39,Trí tuệ nhân tạo,0,7,2
2,40,Quản trị dự án hệ thống thông tin,0,7,2
2,41,Tâm lí học đại cương,0,7,3
2,42,Cơ sở văn hóa Việt Nam,0,7,3
2,43,Xã hội học,0,7,3
2,44,Tiếng Việt thực hành,1,7,3
2,45,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,3
2,46,Hội họa,0,7,3
2,47,Những môn chính học kỳ 8,1,8,0
2,48,Hệ thống ảo và khả năng mở rộng dữ liệu,0,8,1
2,49,Lập trình phân tích dữ liệu 1,1,8,1
2,50,Automat và ngôn ngữ hình thức,0,8,1
2,51,Những môn chính học kỳ 9,1,9,0
3,1,Những môn chính học kỳ 1,1,1,0
3,2,Những môn chính học kỳ 2,1,2,0
3,3,Logic học,0,2,1
3,4,Phương pháp tính,0,2,1
3,5,Vật lý đại cương,1,2,1
3,6,Toán ứng dụng,0,2,1
3,7,Hàm phức và phép biến đổi Laplace,0,2,1
3,8,Những môn chính học kỳ 3,1,3,0
3,9,Lập trình trong CNTT với Python,0,3,1
3,10,Lập trình IoT với Python,1,3,1
3,11,Lập trình trong CNTT với Java,0,3,1
