StudentID,CourseID,Name,StudyOrNot,Semester,Group
1,1,Những môn chính học kỳ 1,1,1,0
1,2,Những môn chính học kỳ 2,1,2,0
1,3,Logic học,0,2,1
1,4,Phương pháp tính,0,2,1
1,5,Vật lý đại cương,1,2,1
1,6,Toán ứng dụng,0,2,1
1,7,Hàm phức và phép biến đổi Laplace,0,2,1
1,8,Những môn chính học kỳ 3,1,3,0
1,9,Kỹ năng xây dựng kế hoạch ,0,3,1
1,10,Quản trị học,0,3,1
1,11,Quản trị doanh nghiệp,1,3,1
1,12,Kế toán cơ bản,0,3,1
1,13,Môi trường và con người ,0,3,1
1,14,Giao tiếp kinh doanh,0,3,1
1,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
1,16,Những môn chính học kỳ 4,1,4,0
1,17,Tâm lí học đại cương,0,4,1
1,18,Cơ sở văn hóa Việt Nam,0,4,1
1,19,Xã hội học,0,4,1
1,20,Tiếng Việt thực hành,1,4,1
1,21,Âm nhạc - Nhạc lý và Guitar căn bản,0,4,1
1,22,Hội họa,0,4,1
1,23,Những môn chính học kỳ 5,1,5,0
1,24,Giao dịch định lượng,0,5,1
1,25,Phân tích định lượng,0,5,1
1,26,Nguyên lý mô hình hóa định lượng,0,5,1
1,27,Những môn chính học kỳ 6,1,6,0
1,28,Lập trình phân tích dữ liệu 2,0,6,1
1,29,Trực quan hóa dữ liệu,0,6,1
1,30,Tương tác người máy,1,6,1
1,31,Kế toán tài chính,0,6,2
1,32,Tiếp thị điện tử ,0,6,2
1,33,Hành vi tổ chức ,1,6,2
1,34,Những môn chính học kỳ 7,1,7,0
1,35,Quản trị bán hàng,1,7,1
1,36,Nguyên lý quản trị tài chính ,0,7,1
1,37,Kế toán quản trị ,0,7,1
1,38,Các hệ thống thông minh doanh nghiệp,0,7,2
1,39,Khai thác dữ liệu và ứng dụng,1,7,2
1,40,Cơ sở dữ liệu nâng cao,0,7,2
1,41,Những môn chính học kỳ 8,1,8,0
1,42,Nhập môn dữ liệu lớn ,0,8,1
1,43,Nguyên lý các hệ cơ sở dữ liệu,0,8,1
1,44,Kiến trúc hướng dịch vụ và Điện toán đám mây,0,8,1
1,45,Quản lý quy trình nghiệp vụ ,0,8,2
1,46,Quản trị nguồn nhân lực ,1,8,2
1,47,Kiểm toán cơ bản,0,8,2
1,48,Những môn chính học kỳ 9,1,9,0
2,1,Những môn chính học kỳ 1,1,1,0
2,2,Những môn chính học kỳ 2,1,2,0
2,3,Logic học,0,2,1
2,4,Phương pháp tính,1,2,1
2,5,Vật lý đại cương,0,2,1
2,6,Toán ứng dụng,0,2,1
2,7,Hàm phức và phép biến đổi Laplace,0,2,1
2,8,Những môn chính học kỳ 3,1,3,0
2,9,Kỹ năng xây dựng kế hoạch ,0,3,1
2,10,Quản trị học,0,3,1
2,11,Quản trị doanh nghiệp,0,3,1
2,12,Kế toán cơ bản,0,3,1
2,13,Môi trường và con người ,0,3,1
2,14,Giao tiếp kinh doanh,1,3,1
2,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
2,16,Những môn chính học kỳ 4,1,4,0
2,17,Tâm lí học đại cương,0,4,1
2,18,Cơ sở văn hóa Việt Nam,0,4,1
2,19,Xã hội học,0,4,1
2,20,Tiếng Việt thực hành,1,4,1
2,21,Âm nhạc - Nhạc lý và Guitar căn bản,0,4,1
2,22,Hội họa,0,4,1
2,23,Những môn chính học kỳ 5,1,5,0
2,24,Giao dịch định lượng,0,5,1
2,25,Phân tích định lượng,0,5,1
2,26,Nguyên lý mô hình hóa định lượng,0,5,1
2,27,Những môn chính học kỳ 6,1,6,0
2,28,Lập trình phân tích dữ liệu 2,0,6,1
2,29,Trực quan hóa dữ liệu,0,6,1
2,30,Tương tác người máy,0,6,1
2,31,Kế toán tài chính,0,6,2
2,32,Tiếp thị điện tử ,0,6,2
2,33,Hành vi tổ chức ,1,6,2
2,34,Những môn chính học kỳ 7,1,7,0
2,35,Quản trị bán hàng,1,7,1
2,36,Nguyên lý quản trị tài chính ,0,7,1
2,37,Kế toán quản trị ,0,7,1
2,38,Các hệ thống thông minh doanh nghiệp,0,7,2
2,39,Khai thác dữ liệu và ứng dụng,0,7,2
2,40,Cơ sở dữ liệu nâng cao,0,7,2
2,41,Những môn chính học kỳ 8,1,8,0
2,42,Nhập môn dữ liệu lớn ,0,8,1
2,43,Nguyên lý các hệ cơ sở dữ liệu,0,8,1
2,44,Kiến trúc hướng dịch vụ và Điện toán đám mây,0,8,1
2,45,Quản lý quy trình nghiệp vụ ,0,8,2
2,46,Quản trị nguồn nhân lực ,1,8,2
2,47,Kiểm toán cơ bản,0,8,2
2,48,Những môn chính học kỳ 9,1,9,0
3,1,Những môn chính học kỳ 1,1,1,0
3,2,Những môn chính học kỳ 2,1,2,0
3,3,Logic học,0,2,1
3,4,Phương pháp tính,1,2,1
3,5,Vật lý đại cương,0,2,1
3,6,Toán ứng dụng,0,2,1
3,7,Hàm phức và phép biến đổi Laplace,0,2,1
3,8,Những môn chính học kỳ 3,1,3,0
3,9,Kỹ năng xây dựng kế hoạch ,1,3,1
3,10,Quản trị học,0,3,1
3,11,Quản trị doanh nghiệp,0,3,1
3,12,Kế toán cơ bản,0,3,1
3,13,Môi trường và con người ,0,3,1
3,14,Giao tiếp kinh doanh,0,3,1
3,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
3,16,Những môn chính học kỳ 4,1,4,0
