CourseID,Name,Url,Code,Img
1,Những môn chính học kỳ 1,google.com,1111,google.com
2,Những môn chính học kỳ 2,google.com,1111,google.com
3,Logic học,https://www.amazon.com/Introductory-Logic-Fundamentals-Thinking-Student/dp/1591281652,2113438,"https://images-na.ssl-images-amazon.com/images/I/41+-C6cttsS._SX384_BO1,204,203,200_.jpg"
4,Phương pháp tính,coursera.org,2113435,google.com
5,Vật lý đại cương,coursera.org,2113437,google.com
6,Toán ứng dụng,coursera.org,2113434,google.com
7,Hàm phức và phép biến đổi Laplace,coursera.org,2113436,google.com
8,Những môn chính học kỳ 3,google.com,1111,google.com
9,Kỹ năng xây dựng kế hoạch,https://www.amazon.com/Powerful-Planning-Skills-Peter-Capezio/dp/1564144410,2132002,"https://images-na.ssl-images-amazon.com/images/I/51qNxiJLImL._SX321_BO1,204,203,200_.jpg"
10,Quản trị học,coursera.org,2107483,google.com
11,Quản trị doanh nghiệp,coursera.org,2107510,google.com
12,Kế toán cơ bản,coursera.org,2127481,google.com
13,Môi trường và con người,coursera.org,2123800,google.com
14,Giao tiếp kinh doanh,coursera.org,2107492,google.com
15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,coursera.org,2101727,google.com
16,Những môn chính học kỳ 4,google.com,1111,google.com
17,Giải thuật và tối ưu hoá phân tán,coursera.org,2101677,google.com
18,Trực quan hóa dữ liệu,coursera.org,2101678,google.com
19,Đại số tuyến tính tính toán,https://www.amazon.com/Numerical-Linear-Algebra-Lloyd-Trefethen-dp-0898713617/dp/0898713617,2101679,"https://images-na.ssl-images-amazon.com/images/I/51N7kMRdFJL._SX348_BO1,204,203,200_.jpg"
20,Quá trình ngẫu nhiên,coursera.org,2101682,google.com
21,Các ngôn ngữ truy vấn cơ sở dữ liệu,coursera.org,2101683,google.com
22,Kiến trúc hướng dịch vụ và Điện toán đám mây,"https://www.amazon.com/Services-Service-Oriented-Architectures-Cloud-Computing/dp/0123983576,2010684,https://images-na.ssl-images-amazon.com/images/I/41W8oT7KqSL._SX330_BO1,204,203,200_.jpg",,google.com
23,Những môn chính học kỳ 5,google.com,1111,google.com
24,Phân tích chuỗi thời gian,coursera.org,2101686,google.com
25,Xử lý ảnh,https://www.amazon.com/Digital-Image-Processing-Rafael-Gonzalez/dp/0133356728,2101698,"https://images-na.ssl-images-amazon.com/images/I/41tUJDOm0wL._SX400_BO1,204,203,200_.jpg"
26,Kĩ thuật tài chính,coursera.org,2101687,google.com
27,Những môn chính học kỳ 6,google.com,1111,google.com
28,Tiếp thị điện tử,coursera.org,2101544,google.com
29,Tương tác người máy,coursera.org,2101428,google.com
30,Giao dịch định lượng,https://www.amazon.com/Quantitative-Trading-Build-Algorithmic-Business/dp/0470284889,2101689,"https://images-na.ssl-images-amazon.com/images/I/61dP5IvR0bL._SX337_BO1,204,203,200_.jpg"
31,Nhập môn Robot,coursera.org,2101688,google.com
32,Công nghệ phần mềm,https://www.amazon.com/Beginning-Software-Engineering-Rod-Stephens-ebook/dp/B00UANX0E0,2101420,"https://images-na.ssl-images-amazon.com/images/I/61mZfNOjZNL._SX401_BO1,204,203,200_.jpg"
33,Tính toán song song,coursera.org,2101690,google.com
34,Khai phá đồ thị,coursera.org,2101691,google.com
35,Những môn chính học kỳ 7,google.com,1111,google.com
36,Hệ khuyến nghị,coursera.org,2101692,google.com
37,Nhập môn an toàn thông tin,https://www.amazon.com/InfoSec-Handbook-Introduction-Information-Security/dp/1430263822,2101411,"https://images-na.ssl-images-amazon.com/images/I/41bvNi2Fm7L._SX258_BO1,204,203,200_.jpg"
38,Lý thuyết trò chơi,coursera.org,2101693,google.com
39,Tâm lí học đại cương,coursera.org,2110585,google.com
40,Cơ sở văn hóa Việt Nam,coursera.org,2113439,google.com
41,Xã hội học,coursera.org,2111491,google.com
42,Tiếng Việt thực hành,https://vietbooks.info/threads/tieng-viet-thuc-hanh-nxb-giao-duc-2009-bui-minh-toan-280-trang.27669,2111492,https://vietbooks.info/attachments/upload_2021-10-5_15-29-34-png.2489/
43,Âm nhạc - Nhạc lý và Guitar căn bản,coursera.org,2112011,google.com
44,Hội họa,coursera.org,2106529,google.com
45,Những môn chính học kỳ 8,google.com,1111,google.com
46,Phân tích dữ liệu Bayesian,https://www.amazon.com/Bayesian-Analysis-Chapman-Statistical-Science/dp/1439840954,2101695,"https://images-na.ssl-images-amazon.com/images/I/41K1g9CdEjL._SX342_BO1,204,203,200_.jpg"
47,Đảm bảo chất lượng và Kiểm thử phần mềm,coursera.org,2101634,google.com
48,Phân tích kinh doanh,coursera.org,2101696,google.com
49,Giải tích ngẫu nhiên cho tài chính,coursera.org,2101697,google.com
50,Những môn chính học kỳ 9,google.com,1111,google.com
