StudentID,CourseID,Name,StudyOrNot,Semester,Group
1,1,Những môn chính học kỳ 1,1,1,0
1,2,Những môn chính học kỳ 2,1,2,0
1,3,Logic học,1,2,1
1,4,Phương pháp tính,0,2,1
1,5,Vật lý đại cương,0,2,1
1,6,Toán ứng dụng,0,2,1
1,7,Hàm phức và phép biến đổi Laplace,0,2,1
1,8,Những môn chính học kỳ 3,1,3,0
1,9,Kỹ năng xây dựng kế hoạch ,1,3,1
1,10,Quản trị học,0,3,1
1,11,Quản trị doanh nghiệp,0,3,1
1,12,Kế toán cơ bản,0,3,1
1,13,Môi trường và con người ,0,3,1
1,14,Giao tiếp kinh doanh,0,3,1
1,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
1,16,Những môn chính học kỳ 4,1,4,0
1,17,Giải thuật và tối ưu hoá phân tán,0,4,1
1,18,Trực quan hóa dữ liệu,1,4,1
1,19,Đại số tuyến tính tính toán,0,4,1
1,20,Quá trình ngẫu nhiên,0,4,2
1,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
1,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
1,23,Những môn chính học kỳ 5,1,5,0
1,24,Phân tích chuỗi thời gian,1,5,1
1,25,Xử lý ảnh ,0,5,1
1,26,Kĩ thuật tài chính,0,5,1
1,27,Những môn chính học kỳ 6,1,6,0
1,28,Tiếp thị điện tử ,0,6,1
1,29,Tương tác người máy ,0,6,1
1,30,Giao dịch định lượng,1,6,1
1,31,Nhập môn Robot,0,6,1
1,32,Công nghệ phần mềm ,1,6,2
1,33,Tính toán song song,0,6,2
1,34,Khai phá đồ thị,0,6,2
1,35,Những môn chính học kỳ 7,1,7,0
1,36,Hệ khuyến nghị,1,7,1
1,37,Nhập môn an toàn thông tin,0,7,1
1,38,Lý thuyết trò chơi,0,7,1
1,39,Tâm lí học đại cương,0,7,2
1,40,Cơ sở văn hóa Việt Nam,0,7,2
1,41,Xã hội học,0,7,2
1,42,Tiếng Việt thực hành,0,7,2
1,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
1,44,Hội họa,0,7,2
1,45,Những môn chính học kỳ 8,1,8,0
1,46,Phân tích dữ liệu Bayesian,0,8,1
1,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
1,48,Phân tích kinh doanh,0,8,1
1,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
1,50,Những môn chính học kỳ 9,1,9,0
2,1,Những môn chính học kỳ 1,1,1,0
2,2,Những môn chính học kỳ 2,1,2,0
2,3,Logic học,1,2,1
2,4,Phương pháp tính,0,2,1
2,5,Vật lý đại cương,0,2,1
2,6,Toán ứng dụng,0,2,1
2,7,Hàm phức và phép biến đổi Laplace,0,2,1
2,8,Những môn chính học kỳ 3,1,3,0
2,9,Kỹ năng xây dựng kế hoạch ,1,3,1
2,10,Quản trị học,0,3,1
2,11,Quản trị doanh nghiệp,0,3,1
2,12,Kế toán cơ bản,0,3,1
2,13,Môi trường và con người ,0,3,1
2,14,Giao tiếp kinh doanh,0,3,1
2,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
2,16,Những môn chính học kỳ 4,1,4,0
2,17,Giải thuật và tối ưu hoá phân tán,0,4,1
2,18,Trực quan hóa dữ liệu,0,4,1
2,19,Đại số tuyến tính tính toán,1,4,1
2,20,Quá trình ngẫu nhiên,0,4,2
2,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
2,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
2,23,Những môn chính học kỳ 5,1,5,0
2,24,Phân tích chuỗi thời gian,0,5,1
2,25,Xử lý ảnh,0,5,1
2,26,Kĩ thuật tài chính,0,5,1
2,27,Những môn chính học kỳ 6,1,6,0
2,28,Tiếp thị điện tử ,0,6,1
2,29,Tương tác người máy ,0,6,1
2,30,Giao dịch định lượng,0,6,1
2,31,Nhập môn Robot,0,6,1
2,32,Công nghệ phần mềm ,0,6,2
2,33,Tính toán song song,0,6,2
2,34,Khai phá đồ thị,0,6,2
2,35,Những môn chính học kỳ 7,1,7,0
2,36,Hệ khuyến nghị,0,7,1
2,37,Nhập môn an toàn thông tin,0,7,1
2,38,Lý thuyết trò chơi,0,7,1
2,39,Tâm lí học đại cương,0,7,2
2,40,Cơ sở văn hóa Việt Nam,0,7,2
2,41,Xã hội học,0,7,2
2,42,Tiếng Việt thực hành,0,7,2
2,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
2,44,Hội họa,0,7,2
2,45,Những môn chính học kỳ 8,1,8,0
2,46,Phân tích dữ liệu Bayesian,0,8,1
2,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
2,48,Phân tích kinh doanh,0,8,1
2,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
2,50,Những môn chính học kỳ 9,1,9,0
3,1,Những môn chính học kỳ 1,1,1,0
3,2,Những môn chính học kỳ 2,1,2,0
3,3,Logic học,0,2,1
3,4,Phương pháp tính,0,2,1
3,5,Vật lý đại cương,1,2,1
3,6,Toán ứng dụng,0,2,1
3,7,Hàm phức và phép biến đổi Laplace,0,2,1
3,8,Những môn chính học kỳ 3,1,3,0
3,9,Kỹ năng xây dựng kế hoạch ,0,3,1
3,10,Quản trị học,0,3,1
3,11,Quản trị doanh nghiệp,0,3,1
3,12,Kế toán cơ bản,1,3,1
3,13,Môi trường và con người ,0,3,1
