,StudentID,CourseID,Name,StudyOrNot,Semester,Group
0,1,1,Những môn chính học kỳ 1,1,1,0
1,1,2,Những môn chính học kỳ 2,1,1,0
2,1,3,Logic học,0,2,1
3,1,4,Phương pháp tính,0,2,1
4,1,5,Vật lý đại cương,1,2,1
5,1,6,Toán ứng dụng,0,2,1
6,1,7,Hàm phức và phép biến đổi Laplace,0,2,1
7,1,8,Những môn chính học kỳ 3,1,3,0
8,1,9,Kỹ năng xây dựng kế hoạch ,0,3,1
9,1,10,Quản trị học,0,3,1
10,1,11,Quản trị doanh nghiệp,0,3,1
11,1,12,Kế toán cơ bản,0,3,1
12,1,13,Môi trường và con người ,0,3,1
13,1,14,Giao tiếp kinh doanh,0,3,1
14,1,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
15,1,16,Những môn chính học kỳ 4,1,4,0
16,1,17,Hệ quản trị cơ sở dữ liệu,1,4,1
17,1,18,Tương tác người máy,0,4,1
18,1,19,Thương mại điện tử,0,4,1
19,1,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
20,1,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
21,1,22,Lập trình GUI với Qt Framework,0,4,2
22,1,23,Những môn chính học kỳ 5,1,5,0
23,1,24,Tâm lí học đại cương,1,5,1
24,1,25,Cơ sở văn hóa Việt Nam,0,5,1
25,1,26,Xã hội học,0,5,1
26,1,27,Tiếng Việt thực hành,0,5,1
27,1,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
28,1,29,Hội họa,0,5,1
29,1,30,Những môn chính học kỳ 6,1,6,0
30,1,31,Lập trình phân tán với công nghệ .NET,0,6,1
31,1,32,Lập trình phân tán với công nghệ Java,0,6,1
32,1,33,Lập trình mạng với Qt Framework,0,6,1
33,1,34,Khai thác dữ liệu và ứng dụng,0,6,2
34,1,35,Kỹ thuật điện tử ,0,6,2
35,1,36,Lập trình phân tích dữ liệu 1,1,6,2
36,1,37,Những môn chính học kỳ 7,1,7,0
37,1,38,Lập trình WWW (.NET),0,7,1
38,1,39,Lập trình WWW (Java),1,7,1
39,1,40,Lập trình IoTs,0,7,1
40,1,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
41,1,42,Những môn chính học kỳ 8,1,8,0
42,1,43,Lập trình phân tích dữ liệu 2 ,0,8,1
43,1,44,Automat & ngôn ngữ hình thức ,0,8,1
44,1,45,Lập trình thiết bị di động nâng cao ,0,8,1
45,1,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
46,1,47,Nhập môn dữ liệu lớn ,0,8,2
47,1,48,Quản lý dự án CNTT,0,8,2
48,1,49,Tiếp thị điện tử ,0,8,2
49,1,50,Những môn chính học kỳ 9,1,9,0
50,2,1,Những môn chính học kỳ 1,1,1,0
51,2,2,Những môn chính học kỳ 2,1,1,0
52,2,3,Logic học,0,2,1
53,2,4,Phương pháp tính,0,2,1
54,2,5,Vật lý đại cương,1,2,1
55,2,6,Toán ứng dụng,0,2,1
56,2,7,Hàm phức và phép biến đổi Laplace,0,2,1
57,2,8,Những môn chính học kỳ 3,1,3,0
58,2,9,Kỹ năng xây dựng kế hoạch ,0,3,1
59,2,10,Quản trị học,0,3,1
60,2,11,Quản trị doanh nghiệp,0,3,1
61,2,12,Kế toán cơ bản,0,3,1
62,2,13,Môi trường và con người ,0,3,1
